,_id,排名,标题,作者,综合评分,视频分类,视频标签,播放量,弹幕数,评论,收藏,点赞数,投币数,分享数,up主性别,bilibili个人认证,up主粉丝总数,up主总观看数,up主总获赞数,up主视频数,主分类
71,5eba48fa537acd9e3a576bc7,72,谁是内鬼挑战！,中国BOY超级大猩猩,3211419,日常,"花少北,某幻君,老番茄,中国BOY,lexburner,谁是内鬼,VLOG,内鬼,游戏,沙雕日常,生活记录",2503624,48755,13354,99619,355272,198717,11220,男,bilibili 2019百大UP主、知名UP主,5270093,811666198,26214433,100,全站
72,5eba48fc537acd9e3a576bc8,73,一刀剪断10000根糖丝组成的瀑布！卷起竟是一座雪山~      [龙须酥],二喵的饭,3188632,美食圈,"美食,吃播,甜点,龙须糖,龙须酥,2020脑洞节 神奇脑回路大赏,美食圈,日常,生活,搞笑,美食vlog",3553513,25803,4166,71045,532173,350525,7688,女,bilibili 知名美食UP主、高能联盟成员,2095009,108590069,9167328,100,全站
73,5eba48fd537acd9e3a576bc9,74,实锤纳豆奶奶？我就不该在b站搜自己.......,纳豆奶奶,3150233,日常,"纳豆奶奶,VLOG的一百种可能,萌妹子,B站,VLOG,吐槽,高能,生活,作死,搞笑",4187987,53820,8105,75375,653326,233911,4135,女,bilibili 2019百大UP主、知名UP主,4084213,234807420,19445959,100,全站
74,5eba48fe537acd9e3a576bca,75,【王者之歌】王者荣耀·100英雄群像献礼歌《百战成诗》,王者荣耀,3148508,原创音乐,"电子竞技,王者荣耀,国风音乐,原创歌曲,百战成诗,五五开黑节,古风,音频怪物,贰婶,同人,音乐",1411146,84325,12483,106698,146913,131018,47742,男,王者荣耀官方,1197194,60789496,6426059,100,全站
75,5eba48ff537acd9e3a576bcb,76,瘦腿课表（美丽芭蕾外侧+内侧+第三套+第四套+美丽芭蕾拉伸）,普鲁士ll,3141844,健身,"瘦身塑形,美丽芭蕾,减肥,健身,瘦腿",15422799,298675,20612,1004403,138096,29510,200592,保密,,82254,15416244,138281,1,全站
76,5eba4900537acd9e3a576bcc,77,这动画太好看了！2020年4月新番吐槽大盘点！（第一弹）,LexBurner,3137163,综合,"动漫杂谈,lexburner,lex,辉夜大小姐,公主连结,新番吐槽,新番导视,沙雕,八男,搞笑",4894848,68402,12623,78363,441518,193846,13875,男,bilibili 2019百大UP主、高能联盟成员,8182995,802327555,30619343,100,全站
77,5eba4901537acd9e3a576bcd,78,乔 瑟 夫 乔 斯 达,黄_金_体_验,3037998,MAD·AMV,"MAD.AMV,JOJO的奇妙冒险,二乔,JOJO,MAD,AMV,动漫",1353038,3912,2278,101248,153403,125045,10828,保密,,10828,0,232072,8,全站
78,5eba4902537acd9e3a576bce,79,满级大佬屠杀新手村,Ueroey,3023314,音乐现场,"音乐现场,音乐",3979896,8706,4978,106425,267718,23447,15774,保密,,1463,3851646,267830,6,全站
79,5eba4904537acd9e3a576bcf,80,这是最后一次了，且珍惜！,东尼ookii,3019086,日常,"服饰,尼妹,东尼ookii,女装,VLOG的一百种可能,VLOG,日常,生活,礼物开箱,搞笑",3346867,34784,9218,84658,543205,170417,4635,保密,bilibili 2019百大UP主、知名搞笑UP主,2590716,196229177,17500592,100,全站
80,5eba4905537acd9e3a576bd0,81,谋 权 篡 位 3,小潮院长,3015068,搞笑,"搞笑,小潮,沙雕日常,逗比,恶作剧,VLOG,沙雕,恶搞,生活,奇葩",3869066,54493,8768,74097,653342,227324,10178,男,bilibili 2019百大UP主、知名UP主,2979478,254049749,17894058,100,全站
81,5eba4906537acd9e3a576bd1,82,新裤子-《你要跳舞吗》动物版,别做一只猫,3001968,搞笑,"舞蹈,搞笑,bilibili新星计划,新裤子,你要跳舞吗,魔性,动物,混剪,沙雕,搞笑视频,跳舞",1870556,4065,1619,94498,181326,144335,66835,保密,,5490,2006230,188742,4,全站
82,5eba4907537acd9e3a576bd2,83,惊 雷 最 骚 版 本,树深时见鹿dear,2995525,鬼畜调教,"鬼畜,惊雷,罗翔,奥利给,卢本伟,鬼畜调教,淡黄的长裙，蓬松的头发,五五开,张三,杨坤,老八",3281270,4577,2253,94016,286094,95559,23329,男,bilibili 知名UP主、高能联盟成员,577812,101341434,2866790,100,全站
83,5eba4908537acd9e3a576bd3,84,一斤牛肉一碗面，嗦完差点泪流满面。。。,绵羊料理,2972966,美食圈,"吃播,美食,健身跟练挑战,减肥失败,厨艺,美食圈,日常,生活,制作教程,吃货",4267614,20353,6387,57671,411175,315708,12586,女,bilibili 2019百大UP主、知名美食UP主,4019530,194614674,11886595,100,全站
84,5eba4909537acd9e3a576bd4,85,淡妆如何改善小眼、蒜鼻、颧骨高、太阳穴凹陷、大脸,阿管管管管管管,2970185,美妆,"美妆,时尚新势力-时尚新秀召集令,日常妆,化妆教程,时尚,学生党,化妆技巧",1037416,5619,4760,114012,95336,47982,14496,保密,,54157,1182501,109591,2,全站
85,5eba490a537acd9e3a576bd5,86,【管管】身体美白/去鸡皮肤&后背痘！我身体会发光的秘密是......,双管_,2955349,美妆,"美妆,夏日好物种草,种草,美白,祛痘,时尚,学生党,分享,鸡皮肤,身体美白,狐臭",1100835,8278,1589,116330,62387,20100,5283,女,,154522,6021287,320027,35,全站
86,5eba490b537acd9e3a576bd6,87,鼓乐《兰陵王入阵曲》耳机开最大！来听千军万马！！！,共青团中央,2925939,热点,"国风音乐,演奏,中国华服日,汉服,国风新风尚,古风,国风,柳青瑶,中国鼓,王佳男",3752031,15476,9590,328806,482245,412416,49037,保密,共青团中央 官方账号,6699409,1024399763,99956690,100,全站
87,5eba490c537acd9e3a576bd7,88,猫 生 百 态！,戒喵中心,2925146,搞笑,"喵星人,搞笑,萌宠,是在下输了,猫片,搞笑视频,魔性,恶搞",3237033,1934,1461,93036,207943,70986,66343,保密,,111259,31305612,1250066,43,全站
88,5eba490d537acd9e3a576bd8,89,在床上就可以做的20分钟特快瘦大腿操  2星期内明显见效【Coffee林芊妤】,带枪小女孩weibo,2911780,健身,"塑形,健身,减肥,健身健康,运动",17756230,322983,42162,1299349,219349,46477,325702,保密,,274678,64002417,546986,100,全站
89,5eba490f537acd9e3a576bd9,90,一看就会！凑出高B格语言！作文50+太简单！,今天也想吐槽,2901155,日常,"学习,知识分享官,考试,高考作文,技巧,语文",2329641,8514,3472,314421,279640,140717,16717,女,,163380,4414384,500020,7,全站
90,5eba4910537acd9e3a576bda,91,【Minecraft】用无缝剪辑&跑酷的方式打开MC从远古版本到现在的进化史,power777888,2886710,单机游戏,"我的世界,游戏集锦,MINECRAFT,MC,bilibili新星计划,跑酷,混剪,转场,无缝转场,剪辑,无缝剪辑,高能",1198208,16759,5636,97947,157694,136669,10644,保密,,11323,1282912,164619,27,全站
91,5eba4911537acd9e3a576bdb,92,史上最令人寂寞的画质(第二期)|备好硬币！我的世界MineCraft光追RTX+绝美延时摄影,游汐_YX,2881240,单机游戏,"我的世界,MC,minecraft,延时摄影,MINECRAFT,画质,建筑,绝美,RTX,光追",2488757,27076,5696,91497,200820,88534,32666,保密,,103648,28799482,469917,89,全站
92,5eba4912537acd9e3a576bdc,93,这卧艹，说出了电音的节奏~,余轩yx,2870008,搞笑,"搞笑,电音,是在下输了,全程高能,恶搞,魔性,奇葩",3545344,14918,7884,90767,356286,72551,19163,男,bilibili 知名音乐UP主,357974,34024334,2231978,50,全站
93,5eba4913537acd9e3a576bdd,94,【Chimera君】下海的男人（像素游戏风短剧）,Chimera君,2858900,单机游戏,"沙雕之主,沙雕剧场,单机游戏,Chimera君,单机联机,游戏走一波",1568428,17734,8941,85555,208183,189105,13266,男,,901175,46028355,819081,81,全站
94,5eba4914537acd9e3a576bde,95,体态大师：缩腰女王三天见效沙漏腰、小腹平坦、内收马甲线,体态大师App,2828190,健身,"瘦身塑形,健身跟练挑战,腹肌,马甲线,瘦腰,瘦小腹",696613,1831,2586,116073,22953,10439,6437,保密,,552822,11394857,134753,17,全站
95,5eba4915537acd9e3a576bdf,96,up主愚人节给粉丝打电话当散财童子,徐大虾咯,2819781,搞笑,"徐大虾,徐大虾咯,日常,生活,搞笑",2924067,49838,16974,72116,437004,232027,8376,男,bilibili 2019百大UP主、2019年度原创栏目奖UP主,4638929,417190344,20562964,100,全站
96,5eba4916537acd9e3a576be0,97,【李杜/手书】昔年因读李白杜甫诗  长恨二人不相从,祁炎小脸一绿,2815108,短片·手书·配音,"手书,李杜,李白,杜甫,历史同人,原创",581142,7517,3359,105358,113775,72565,14182,保密,,12178,578507,114806,2,全站
97,5eba4917537acd9e3a576be1,98,妈妈在车里清唱《One Day》，爸爸负责和声与伴奏，美好的一家人,xjw89,2769441,日常,"清唱,有爱,萌娃,暖心,妈妈,欧美,生活,唱歌,感动,爸爸",1552467,2744,2259,98697,185430,47347,20069,保密,,1970,5936055,357416,75,全站
98,5eba4918537acd9e3a576be2,99,曾经火爆全网的《Inside the Lines》直击观众的心灵！竟致郁无数人！,学姐圆,2748512,MAD·AMV,"MAD.AMV,Re：从零开始的异世界生活,全能打卡挑战,紫罗兰的永恒花园,论BGM的重要性,治愈向,国家队,02,唯美,MAD,AMV",1308495,4241,1808,95634,132894,69466,4119,女,,42687,4277463,480383,13,全站
99,5eba4919537acd9e3a576be3,100,【全明星】日不落 - 蔡依林的美妙音乐,秋名山上的486,2724173,鬼畜调教,"鬼畜,黄绿合战,天使降临到我身边,蔡依林,卢本伟,诸葛亮,黄绿合战5th,鬼畜调教,全明星,日不落,人力VOCALOID,Sunshine in the Rain",1419206,16286,3085,84046,201180,140591,12478,男,bilibili 知名鬼畜UP主,134217,26352702,1582051,100,全站
100,5eba4960059f295f561ce90c,1,恭喜你发现宝藏,努力の巳宝宝,14047465,MAD·AMV,"MAD.AMV,天气之子,全能打卡挑战,AMV,极致画质,补帧,纯剪辑,新人向,催泪向,雨水,海兽之子",4962217,19817,9050,547040,733664,609655,35062,女,,80215,10732492,1283968,70,动画
101,5eba4961059f295f561ce90d,2,每天一遍  童年再见,优柔寡断胡英俊,7670824,特摄,"特摄,迪迦奥特曼,bilibili新星计划,奥特曼,毁童年,怀旧",10383479,52235,8413,261737,613548,248515,148948,保密,,16921,10959944,644263,15,动画
102,5eba4962059f295f561ce90e,3,“更爱你的人”,始春廿肆,5846265,MAD·AMV,"MAD.AMV,MAD,新海诚,全能打卡挑战,声之形,剧情,治愈向",2572750,8137,4646,217585,297444,245647,15421,保密,,18603,2589536,576619,6,动画
103,5eba4963059f295f561ce90f,4,【高燃 拟人】致敬“植物大战僵尸” 49种植物全员拟人！,想学画画的初慕,4609105,短片·手书·配音,"童年回忆杀,绘画,手书,植物大战僵尸,bilibili新星计划,拟人,PVZ,板绘,自制,童年",1681170,19955,6702,164007,236637,217840,22726,男,,32984,2184293,293277,7,动画
104,5eba4965059f295f561ce910,5,从B站百大到暗杀名单 从造谣抹黑到无差别举报：全面起底网络黑公关【网络视频发展史：黑公关专题】,低调的帅爷,4076891,综合,"动漫杂谈,黑公关,互联网,LEX,MCN,吃瓜,网络,科普",2651915,26226,113373,137765,234469,171360,19879,男,bilibili 知名UP主、高能联盟成员,563223,18350626,1275714,87,动画
105,5eba4966059f295f561ce911,6,【爆肝500+张原画】干物妹！臭鼬娘！,帷幕VMovie,3983657,短片·手书·配音,"手书,公主连结,打开吧！脑洞,干物妹！小埋R,凯露,臭鼬娘,小埋,帷幕VMovie,动画",1513146,4342,3968,134234,250261,246992,20787,女,bilibili 新星UP主,50969,5154472,692088,74,动画
106,5eba4967059f295f561ce912,7,猫和老鼠2020大结局,庄不纯,3670774,综合,"黑人抬棺,打开吧！脑洞,猫和老鼠,毁童年,儿童鞋垫,欢乐送,搞笑",3723739,27018,2534,114893,297090,156215,50055,保密,bilibili 知名UP主、直播签约主播,669269,54737593,2554835,100,动画
107,5eba4968059f295f561ce913,8,最  强  医  生  3,美尼尔动画君,3609357,短片·手书·配音,"动画,bilibili新星计划,原创,自制,热血",3001095,20198,5368,213663,579320,643212,25482,保密,,65859,3974285,700663,6,动画
108,5eba4969059f295f561ce914,9,曾火遍全网的《溯》，你是否还知道？,三笠・阿克曼,3555999,MAD·AMV,"短片,论BGM的重要性,BGM,治愈向,听歌向,耳机,全程高能,联合创作,综漫,多素材",10593545,42144,12133,798775,1018356,868011,76068,保密,bilibili 知名动漫UP主,148906,23962296,1980060,40,动画
109,5eba496b059f295f561ce915,10,男子因造谣自己被警方逮捕而被警方逮捕【阅片无数43】,凉风Kaze,3395950,综合,"动漫杂谈,阅片无数,凉风Kaze,工具人阿凉,tool凉,公主连结Re:Dive,沙雕,高能,搞笑",5161663,81365,13847,77338,759732,252948,12966,保密,bilibili  2019百大UP主、高能联盟成员,6267705,519132777,42065981,100,动画
110,5eba496c059f295f561ce916,11,这动画太好看了！2020年4月新番吐槽大盘点！（第一弹）,LexBurner,3137163,综合,"动漫杂谈,lexburner,lex,辉夜大小姐,公主连结,新番吐槽,新番导视,沙雕,八男,搞笑",4894872,68402,12623,78363,441522,193846,13875,男,bilibili 2019百大UP主、高能联盟成员,8183005,802327555,30619431,100,动画
111,5eba496d059f295f561ce917,12,乔 瑟 夫 乔 斯 达,黄_金_体_验,3037998,MAD·AMV,"MAD.AMV,JOJO的奇妙冒险,二乔,JOJO,MAD,AMV,动漫",1353058,3912,2278,101248,153404,125045,10828,保密,,10828,1953489,232073,8,动画
112,5eba496e059f295f561ce918,13,【李杜/手书】昔年因读李白杜甫诗  长恨二人不相从,祁炎小脸一绿,2815108,短片·手书·配音,"手书,李杜,李白,杜甫,历史同人,原创",581153,7517,3360,105361,113776,72565,14182,保密,,12178,578507,114807,2,动画
113,5eba496f059f295f561ce919,14,曾经火爆全网的《Inside the Lines》直击观众的心灵！竟致郁无数人！,学姐圆,2748512,MAD·AMV,"MAD.AMV,Re：从零开始的异世界生活,全能打卡挑战,紫罗兰的永恒花园,论BGM的重要性,治愈向,国家队,02,唯美,MAD,AMV",1308506,4241,1808,95635,132895,69466,4119,女,,42688,4277463,480385,13,动画
114,5eba4970059f295f561ce91a,15,“每日一遍，智商再见”,枫泽雨畔,2715050,综合,"童年回忆杀,猫和老鼠,全能打卡挑战,猪猪侠,魔性,全程高能,童年,搞笑",14760206,148207,15801,702484,1313982,844351,231907,男,bilibili 知名动漫UP主,191253,39416324,3263734,71,动画
